f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,label
167.64,157.21,143.67,156.25,155.05,171.2,164.87,162.66,145.94,171.72,161.76,142.85,137.35,140.58,142.23,152.99,128.88,141.76,150.24,154.66,154.63,133.64,135.94,148.67,141.78,133.77,148.15,152.18,147.85,144.11,134.35,139.3,150.73,154.24,147.75,156.4,154.29,147.33,115.27,106.86,124.93,153.06,143.37,140.87,136.09,118.16,106.7,111.54,128.35,122.08,120.39,138.77,149.7,145.51,106.64,104.71,128.35,148.25,135.64,136.09,141.76,150.72,124.47,104.85,135.1,156.67,162.3,0
133.94,124.71,139.69,117.64,89.893,117.69,135.2,162.81,129.01,146.54,148.88,133.42,118.82,136.37,141.76,142.64,127.51,183.05,152.24,172.91,155.12,124.77,132.45,156.81,148.61,139.66,130.12,149.4,143.79,114.84,114.95,152.83,164.17,140.74,137.53,162.02,171.37,150.75,129.88,130.11,123.28,136.88,147.7,165.42,165.04,168.1,176.13,179.88,178.49,145.5,91.241,166.84,170.24,165.98,164.77,175.86,178.49,142.32,100.34,165.04,183.05,175.76,155.25,145.73,146.78,129.48,115.89,0
161.12,166.24,156.02,140.94,149.27,148.98,127.53,119.75,162.51,180.01,166.64,142.83,153.88,152.72,127.57,132.16,151.62,153.98,172.38,177.18,164.29,134.14,119.43,125.17,138.12,127.35,135.45,161.8,165.93,148.04,118.85,128.86,123.91,109.86,130.16,159.11,161.15,166.86,137.91,116.15,111.78,108.05,127.63,146.95,159.47,137.75,149.8,148.91,149.27,120.42,116.4,137.96,136.59,132.28,123.99,149.82,149.27,127.38,128.61,159.47,153.98,130.59,118.91,119.01,119.86,127.76,128.9,0
173.1,159,147.67,114.34,105.04,124.4,135.62,130.5,153.31,152.6,148.37,116.66,126.27,131.72,133.14,119.72,164.39,128.21,173.62,164.97,134.9,135.2,119.67,112.24,112.29,146.22,157.69,148.19,133.79,134.48,120.9,129.28,131.83,148.42,130.12,120.42,118.34,120.46,111.23,139.22,129.36,156.49,126.93,109.22,157.56,135.19,144.82,122.45,131.51,128.69,130.21,141.57,120.03,115.24,141.03,146.86,131.51,120.06,120.17,157.56,128.21,119.26,113.92,139.69,143.4,107.5,102.93,0
148.31,129.77,102.03,115.96,153.56,147.82,105.35,92.856,149.71,143.97,101.68,105.44,140.91,150.47,114.73,94.238,145.86,162.81,156.63,140.25,113.89,121.68,149.03,145.9,101.95,137.91,149.59,143.43,116.48,131.7,156.41,154.49,114.48,147.21,130.22,110.52,117.29,143.74,153.91,139.85,125.02,136.85,111.93,96.631,154.11,128.62,161.23,162.67,144.92,143.88,134.95,137.37,143.17,128.37,132.06,145.72,144.92,142.91,125.72,154.11,162.81,141,115.71,126.13,148.01,158.94,154.07,0
146.6,155.86,132.35,110.78,136.15,167.51,157.67,143.4,128.79,131.22,114.21,116.68,127.76,141.54,145.87,141.49,132.61,112.29,129.33,137.52,129.06,121.81,130.45,124.56,133.45,137.94,146.35,152.85,150.17,132.84,144.17,142.58,131.34,132.35,156.59,155.51,149.72,132.2,114.09,128.86,156.86,144.02,160.86,168.25,110.73,154.61,130.66,101.09,108.16,121.41,152.67,139.37,140.43,144.47,124.63,116.19,108.16,121.57,138.59,110.73,112.29,123.04,106.96,110.13,151.87,176.93,171.32,0
147.43,164.2,134.71,119.22,138.51,170.16,182.54,189.4,177.4,178.65,160.19,132.24,139.19,150.91,177.03,180.37,122.64,106.02,150.6,145.88,113.42,109.29,119.99,154.18,157.22,89.948,89.447,109.19,104.87,92.764,100.05,144.23,145.74,91.38,90.859,120.81,116.21,123,118.44,125.59,128.14,108.27,102.91,110.64,92.421,119.75,132.01,128.01,128.5,116.4,124.71,98.372,88.199,106.01,138.54,131.18,128.5,138.6,153.87,92.421,106.02,99.038,103.2,113.21,119.19,143.44,158.2,0
125.04,129.86,119.53,109.07,99.81,102.22,117.74,141.89,118.45,128.43,149.11,155.33,118.01,100.34,98.796,114.73,114.2,120.73,131.25,130.56,132.92,134.11,139.26,123.47,109.92,116.8,118.3,103.88,105.64,123.52,150.76,153.91,125.74,91.441,94.297,106.91,132.86,120.82,126.47,126.55,120.17,87.417,92.843,128.88,144.32,141.12,125.68,110.04,136.4,105.66,121.21,126.29,112,112.98,107.05,130.48,136.4,115.5,137.2,144.32,120.73,100.82,101.86,121.12,130.33,117.04,131.76,0
117.56,108.45,118.49,115.77,104.4,107.71,109.36,118.07,133.27,112.6,113.51,130.88,120.91,113.1,119.5,132.76,146.46,89.483,119.12,119.2,141.08,130.08,110.99,112.08,139.38,114.13,138.63,141.62,133.74,114.89,101.73,102.69,129.13,132.91,150.75,141,118.89,103.95,116.38,124.49,113.11,109.73,129.86,123.09,111.73,90.453,88.019,126.91,126.85,141.87,130.43,100.94,95.701,114.5,110.61,106.34,126.85,134.02,130.24,111.73,89.483,113.74,128.96,137.63,126,119.41,131.26,0
160.04,170.57,164.86,151.97,151.39,156,171.46,182.39,147.57,168.71,174.09,166.82,138.09,142.75,169.34,187.56,131.7,151.85,137.86,151.62,159.91,150.65,137.47,151.17,172.25,136.52,136.08,123.09,126.28,150.99,142.14,132.15,165.65,139.04,151.96,139.85,140.29,141.29,121.67,110.31,159.43,141.15,129.45,149.41,138.06,162.83,151.68,138.07,144.23,130.6,128.77,151.01,136.51,138.77,161.68,149.1,144.23,135.78,117.83,138.06,151.85,152.67,164.08,164.17,163.67,150.78,133.23,0
126.91,139.3,133.52,143.76,158.31,164.21,173.95,152.14,152.29,154.68,139.55,144.89,148.97,161.31,173.53,162,163.01,173.77,166.07,161.85,160.3,135.52,149.88,162.43,163.2,161.27,165.41,159.14,166.68,147.49,135.06,157.82,171.32,146.2,153.3,155.46,148.2,134.48,140.05,150.66,160.65,152.98,161.89,148.68,160.27,131.76,119.79,120.59,124.14,131.62,148.4,160.01,164.62,157.92,167.18,168.51,124.14,118.77,140.61,160.27,173.77,163.06,176.57,194.39,178.18,144.85,131.69,0
151.84,169.57,171.83,165.1,165.94,175.58,170.01,154.59,150.96,144.97,151.22,160.47,161.11,177.28,184.4,175,156.03,146.09,135.19,147.16,156.97,164.38,176.95,173.04,173.84,156.58,131.26,146.56,160.79,165.87,177.19,167.76,170.65,156.39,149.92,139.96,159.95,159.7,158.57,170.83,184.87,155.25,139.49,141.75,174.29,142.95,158.14,157.73,142.34,154.88,163.32,182.9,148.13,117.77,138.38,147.15,142.34,160.94,171.57,174.29,146.09,128.95,159.94,169.77,145.83,155.85,171.78,0
154.74,135.89,131.55,150.53,165.47,150.55,134.28,153.45,163.85,142.86,136.64,149.92,147.66,162.79,150.87,149.73,161.05,166.91,161.36,144.48,150.91,152.02,160.44,171.32,142.95,149.26,161.71,151.68,145.7,161.13,164.79,164.34,152.13,168.15,163.98,143.11,146.74,164.56,166.85,153.4,160.29,165.11,162.35,145.23,150.25,146.26,164.65,176.12,180.58,161.95,161.6,144.17,151.63,140.72,132.37,154.88,180.58,177.3,156.24,150.25,166.91,162.64,136.63,156.84,167.28,147.49,154.21,0
158.36,174.87,173.68,145.97,139.77,145.68,134.82,145.82,148.14,166.57,178.83,171.34,145.46,142.15,142.25,160.61,165.37,139.71,165.52,157.96,156.03,161.43,164.53,141.85,145.87,155.28,164.86,168.65,163.34,152.18,161.01,165.43,161.62,131.62,146.92,173.71,188.7,147.59,143.6,159.89,156.63,116.28,141.27,157.32,150.81,186.76,158.08,123.53,142.51,140.68,151.43,130.52,134.81,146.39,178.82,175.23,142.51,148.66,150.25,150.81,139.71,143.19,172.42,188.6,181.83,145.85,134.58,0
157.35,146.36,137.09,152.52,173.75,190.44,145.1,115.66,160.31,164.65,160.05,129.79,126.28,154.21,140.33,130.15,155.07,130.99,166.95,175.26,156.89,128.7,141.91,148.95,146.47,146.93,161.98,167.53,179.67,155.73,141.83,159.5,165.98,143.53,161.55,175.08,166.96,148.71,138.97,158.01,168.1,147,155.46,175.26,142.14,161.87,139.84,135.46,150.33,152.04,159.84,137.6,144.48,164.42,173.79,173.5,150.33,144.49,150.82,142.14,130.99,152.02,154.75,175.53,179.01,151.66,154.46,0
137.19,130.57,157.66,156.22,171.43,203.73,170.29,154.48,146.65,126.45,138.69,158.12,149.03,173.8,171.4,143.95,182.61,132.06,155.27,138.34,161.93,164.16,138.14,131.91,136.62,195.93,169.27,134.53,147.89,174.45,156.44,124.3,130.01,184.12,177.85,153.33,140.83,163.38,159.79,139.07,136.15,158.79,168.79,157.79,145.39,148.84,159.82,166.78,163.59,163.78,166.43,153.62,164.44,157.75,161.06,163.13,163.59,168.97,169.05,145.39,132.06,150.88,170.1,176.59,183.41,150.89,150.55,0
